P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,P_PERIOD,P_FLUX,P_TEMP_EQUIL,S_MASS,S_RADIUS,S_TEMPERATURE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_HABITABLE
12.082709,6165.8633,1.29,326.03,101.01141,799.44963,2.7,19,4742,163.5468,10.132812,24.763411,0
12.229641,4684.7848,1.53,516.21997,107.35118,819.07569,2.78,29.79,4213,250.49294,12.770059,31.984271,0
12.848516,1525.5744,0.83,185.84,84.446427,772.30746,2.2,11,4813,58.175144,6.0252302,14.680087,0
12.865261,1481.0785,2.93,1773.4,0.078886561,131.38424,0.9,0.93,5338,0.62917118,0.61059549,1.4579131,0
13.421749,565.73385,1.66,798.5,0.61897215,202.22783,1.08,1.13,5750,1.2505956,0.8406574,1.9820503,0
12.424038,3273.6284,2.6,993.3,5.9039479,396.65045,2.3,8.5,4979,39.782769,4.9452691,11.966497,0
13.823874,289.22348,0.19,30.3506,1611.9403,1613.7579,0.99,10.64,4893,58.139697,6.0021326,14.574833,0
13.35605,632.47773,1.333,452.8,8.2108078,430.60546,1.54,4.9,5098,14.530486,2.9714593,7.1568809,0
13.858291,273.33208,2.08,883,3.5093722,343.04216,1.54,4.9,5098,14.530486,2.9714593,7.1568809,0
10.3132,6658.4967,3.1832119,7336.5,3.69E-05,19.598998,0.08,0.12,2300,0.000361046,0.015701147,0.04246522,0
12.26437,4392.383,0.99,335.10001,3.050856,331.24213,1.93,1.41,6331,2.8616474,1.22761,2.8573528,0
12.629095,2256.5788,0.87,269.3,163.55514,877.01545,1.23,18.11,4415,111.64734,8.4740879,21.019604,0
12.969374,1233.1727,1.19,479.1,103.29647,789.07763,0.98,22.03,4200,135.3053,9.3887017,23.530144,0
13.215704,804.10485,2.1,1078,0.37062414,198.7444,1.03,1.23,5892,1.6336154,0.95260292,2.2377652,0
14.144978,171.62712,3.6,2391,0.12666026,151.71194,1.03,1.23,5892,1.6336154,0.95260292,2.2377652,0
13.470213,521.23792,11.6,14002,0.01229887,84.431345,1.03,1.23,5892,1.6336154,0.95260292,2.2377652,0
14.228992,150.01482,0.0527,4.230785,523.21565,1218.432,1.12,1.2,5793,1.4529988,0.903798,2.1284757,0
13.879517,263.98794,0.115227,14.65152,43.462522,654.14301,0.91,0.94,5196,0.57705994,0.58921014,1.4139437,0
8.5133162,54.47572,0.241376,44.4175,9.9064859,451.95192,0.91,0.94,5196,0.57705994,0.58921014,1.4139437,0
12.969667,1232.537,5.503,4825,0.019059008,94.654352,0.91,0.94,5196,0.57705994,0.58921014,1.4139437,0
1.9057,8.0791878,0.01544,0.736539,2420.6184,1787.008,0.91,0.94,5196,0.57705994,0.58921014,1.4139437,0
7.5885086,44.813748,0.788,262,0.97582251,248.65483,0.91,0.94,5196,0.57705994,0.58921014,1.4139437,0
13.350175,638.83429,2.11,934.3,3.244106,341.57316,1.44,5.2,4938,14.404549,2.9814334,7.2263884,0
2.1061683,5.085248,0.050201,4.215,319.27036,1074.0012,0.94,0.96,5577,0.79879197,0.67876384,1.6082744,0
4.4511957,18.116196,0.2175,38.021,17.0535,515.80897,0.94,0.96,5577,0.79879197,0.67876384,1.6082744,0
5.1078157,22.883616,0.476,123.01,3.7635373,346.34605,0.94,0.96,5577,0.79879197,0.67876384,1.6082744,0
13.232029,781.85689,1.93,796,0.68781196,229.87309,1.52,2.3,4792,2.4992607,1.2499776,3.048219,0
12.604921,2357.0125,0.481,116.688,13.753258,475.14878,1.09,1.89,5495,2.9179849,1.3034579,3.0962409,0
13.116992,953.48401,2.1,691.9,12.438138,477.2133,2.49,10.5,4846,54.475457,5.8221083,14.16542,0
13.604033,416.35468,0.49,93.4,218.9002,979.29341,1.44,10.3,4847,52.463248,5.7133167,13.900142,0
12.792619,1684.4884,2.5,952.7,9.2926133,441.22513,2.4,11,4785,56.833158,5.9624778,14.544572,0
13.079797,1017.0496,0.7,181.4,104.81969,815.07247,1.4,11,4665,51.342925,5.6950725,13.965288,0
12.686905,2034.0992,1.3,481.9,159.23206,898.12947,1.14,32.35,4095,263.66522,13.141381,33.105528,0
13.742892,330.54112,0.78,268.94,0.63701048,223.9117,0.49,0.86,4864,0.37090255,0.48002494,1.167039,0
13.730809,337.21551,0.576,153.22,101.0481,807.74977,1.08,8.95,4649,33.525318,4.6048705,11.299979,0
13.703559,352.78908,0.539,137.48,365.14163,1099.2378,1.1,14.7,4796,102.43303,8.0009629,19.507962,0
11.535801,17668.059,1.05,379.63,1364.0917,1541.7216,10.83,71.02,4259,1486.8958,31.072681,77.651759,0
12.319965,3963.3152,2.01,621.99,374.14548,1113.6017,10.83,71.02,4259,1486.8958,31.072681,77.651759,0
12.924229,1334.8776,1.3,578.2,55.277069,688.84477,0.8,17.3,4296,91.335149,7.6929351,19.190589,0
2.5783,22.24796,0.27908623,41.6855,14.830572,499.95899,1.67,1.08,5766,1.1551402,0.80716291,1.9022596,0
13.823874,289.22348,1,392.6,42.001782,643.64774,0.74,11,4414,41.153174,5.1449909,12.762527,0
13.448934,540.3076,1.7,733,21.51075,471.51405,1.09,10.33,4534,40.403162,5.0769916,12.523632,0
13.484857,508.5248,4.2,2590,1.869632,290.77041,1.52,7.6,4943,30.894294,4.3652967,10.578441,0
3.6130979,12.71312,0.06,5.6,68.263786,729.1933,0.5,0.71,4816,0.24296922,0.38933568,0.94847055,0
12.521925,104.88324,0.68,237.6,0.53520165,216.41573,0.5,0.71,4816,0.24296922,0.38933568,0.94847055,0
14.089972,187.51852,0.04,3.48777,392.33767,1133.7762,1.47,0.91,5393,0.62761471,0.60799368,1.4490096,0
14.156616,168.44884,2.28,1667,0.018712911,94.183848,0.57,0.52,4475,0.097155523,0.24947719,0.61707889,0
12.45239,3108.3579,1.66,714.29999,52.149004,678.88563,2.12,19.17,4545,140.49744,9.4637005,23.332727,0
13.146629,905.80981,1.34,655.59998,0.15374812,149.79878,0.31,0.74,4665,0.23235856,0.38312306,0.93948303,0
16.7029,327.36284,0.025304732,1.5089557,2160.7225,1736.9794,0.95,1.11,5950,1.3835742,0.87358507,2.049275,0
10.8737,874.02701,0.1055,13.2406,39.299539,600.56763,0.89,0.79,5075,0.37092578,0.47530199,1.1457955,0
16.0303,740.53925,0.0436,2.99433,1521.5992,1591.1824,1.27,1.37,6440,2.8924992,1.226253,2.8490237,0
16.1424,291.44828,0.04016,2.828042,724.54837,1320.5715,1.08,1.12,5675,1.1657036,0.81525943,1.926167,0
9.92085,415.71903,0.051,4.03519,438.93325,1166.1235,1.09,1.01,5945,1.1416654,0.79379017,1.8623108,0
12.2189,2415.4928,0.027,1.51214,2386.937,1780.759,1.13,1.21,6035,1.7400771,0.97462062,2.2818376,0
13.1157,170.03798,0.0618,5.35227,358.62139,1085.1728,1.1,1.19,5650,1.292934,0.85986833,2.0330138,0
11.4342,772.32205,0.0461,3.7681,1156.9874,1485.8572,1.04,1.59,5740,2.4588411,1.1794671,2.7816299,0
14.6851,1102.8632,0.0295,1.9000693,904.55384,1395.5035,0.95,1,5440,0.78466493,0.67803568,1.6134445,0
14.4609,352.78908,0.0518,3.89713,1251.833,1514.7866,1.21,1.65,6090,3.3552563,1.348826,3.1541731,0
16.43386,1102.8632,0.02798,1.7429935,948.87833,1413.9397,0.96,0.91,5625,0.74278229,0.65270023,1.5443195,0
14.573,718.29129,0.0417,2.72474,2895.0263,1868.7794,1.29,1.95,6200,5.0341323,1.6411429,3.8291408,0
4.87635,12.077464,0.092,9.75598,171.65928,921.14439,1.1,1.14,5939,1.4486106,0.89448053,2.0988397,0
11.7705,889.91841,0.048,3.6313,1237.3636,1503.7019,1.14,1.61,5900,2.8141578,1.2496836,2.9350628,0
3.6993,5.7209041,0.056,5.1134,126.86163,855.02238,0.91,0.86,4950,0.39783807,0.49520666,1.1996956,0
4.9324,27.968864,0.098,11.759,41.424206,646.33617,0.91,0.86,4950,0.39783807,0.49520666,1.1996956,0
12.1068,85.813561,0.0578,4.86069,505.44586,1207.9906,1.09,1.19,6040,1.6886138,0.95980702,2.2469061,0
14.1246,165.27056,0.0526,4.20474,1013.1423,1437.35,1.09,1.79,5590,2.8031216,1.2705561,3.009305,0
11.28847,3302.233,0.0476,3.57532,560.07952,1238.4049,1.05,1.08,5900,1.2663222,0.83829707,1.968862,0
10.70555,153.82875,0.0603,5.20851,549.79799,1233.1493,1.01,1.78,5150,1.9969057,1.0986717,2.6410016,0
10.089,270.1538,0.0386,2.85057,374.11667,1119.0451,0.97,0.9,5260,0.55554167,0.57617626,1.3794778,0
11.3221,6884.1545,0.057078415,4.2568,1381.127,1553.1139,1.37,1.56,6740,4.4996365,1.503709,3.4793549,0
13.3399,228.83616,0.09,9.20205,222.29922,983.73788,1.16,1.17,6190,1.8006237,0.98210806,2.2919193,0
15.55948,148.42568,0.04947,4.0378962,720.74916,1318.0415,1,1.19,6100,1.7567174,0.97539162,2.2804286,0
13.07086,940.77089,0.0855,8.886593,176.28215,926.57211,1.05,1.02,6090,1.282207,0.8338197,1.9498525,0
1.6815,3.17828,0.016479635,0.85359163,1759.7036,1650.0792,0.82,0.83,5275,0.47789742,0.53396971,1.2777484,0
2.8306203,8.4001941,0.046,3.698,225.84944,987.64226,0.82,0.83,5275,0.47789742,0.53396971,1.2777484,0
6.3897,69.922161,0.063,6.21229,89.134092,782.80911,0.88,0.77,5080,0.35377321,0.46406745,1.1184972,0
11.94986,266.97552,0.4021,95.272656,5.158561,382.67119,0.96,0.96,5625,0.82664914,0.68856288,1.6291722,0
6.3897,47.6742,0.071,6.71837,140.90404,877.75998,1.08,0.79,5970,0.71029728,0.62516471,1.4658371,0
5.70589,27.616484,0.079427582,8.138268,113.61817,831.7769,1.01,0.96,5428,0.71678757,0.64848313,1.5437246,0
1.31157,2.2754822,0.075317114,8.050722,99.761011,805.16543,0.88,0.83,5502.7,0.56591105,0.57377074,1.3626082,0
1.98417,4.5953145,0.131,21.169861,5.0317823,381.31313,0.66,0.57,4148.21,0.086194845,0.23728997,0.59621142,0
5.76194,28.078642,0.1493,19.49221,105.35792,816.22841,1.17,1.39,6069,2.3484796,1.1299082,2.6434346,0
2.58951,7.2218056,0.098,13.603,20.573967,538.46915,0.69,0.67,4684,0.1936002,0.34944998,0.85618941,0
